Unnamed: 0,id,author_id,text,is_retweet,content
32,1653495477629866003,11348282,The rings are light echoes from a gammaray burst On their way to Earth some Xrays from the event scattered off dust clouds in our galaxy Like a sound echo this light took longer to reach us appearing as expanding Xray rings days after the burst itself had faded away,False,"@iiTzEmerald @NASAUniverse The rings are light “echoes” from a gamma-ray burst. On their way to Earth, some X-rays from the event scattered off dust clouds in our galaxy. Like a sound echo, this light took longer to reach us, appearing as expanding X-ray rings days after the burst itself had faded away."
33,1653493245769293827,11348282,We switch ports on the occasionally to make room for other spacecraftin this case cargo Dragon mission scheduled to arrive in June For example astronaut Frank Rubio and two cosmonauts moved their Soyuz spacecraft last month ,False,"@TeslaRobb14 We switch ports on the @Space_Station occasionally to make room for other spacecraft—in this case, @SpaceX's cargo Dragon mission scheduled to arrive in June. For example, astronaut Frank Rubio and two cosmonauts moved their Soyuz spacecraft last month: https://t.co/Zt1QiMUCh3"
34,1653492024224501765,11348282,May is a good month for skywatchers Venus Mars and Jupiter cozy up to the Moon and even Saturn makes a cameo Where and when to look  ,False,"May is a good month for skywatchers. Venus, Mars, and Jupiter cozy up to the Moon, and even Saturn makes a cameo. Where and when to look: https://t.co/P2s1urpEX6 https://t.co/RvKaRJVWsw"
35,1653411498029449216,11348282,We love to hear it is a great resource for younger students looking to learn about the universeand if their family is looking to make the trek to Maryland we host some fantastic events at ,False,"@JenniferLDugan We love to hear it! @NASASpacePlace is a great resource for younger students looking to learn about the universe—and if their family is looking to make the trek to Maryland, we host some fantastic events at @NASAGoddard: https://t.co/D0ghrGIvYa"
36,1653397539041824769,11348282,Its a good question The short answer is that a system like that would add additional moving parts ie more cost and complexity so its more effective to just make sure the solar panels can last for the scheduled prime mission ,False,"@Hawk1nsJohn It's a good question! The short answer is that a system like that would add additional moving parts (i.e. more cost and complexity), so it's more effective to just make sure the solar panels can last for the scheduled prime mission. https://t.co/G6MASM5XJE"
37,1653159153295032322,11348282,This weekend our Crew6 astronauts are taking their Dragon out for a spin Tune in at 7am ET 1100 UTC on Saturday May 6 as they move the Dragon Endeavour spacecraft to a new port on the ,False,"This weekend, our #Crew6 astronauts are taking their Dragon out for a spin. Tune in at 7am ET (1100 UTC) on Saturday, May 6, as they move the Dragon Endeavour spacecraft to a new port on the @Space_Station: https://t.co/2g8Juligsn https://t.co/puDNleOO9P"
38,1653092281950298148,11348282,"Is your type tall maybe even supermassive dark and mysterious Celebrate BlackHoleWeek with us 

Learn about these cosmic objects share science updates visualizations and sonifications Follow and get pulled in  ",False,"Is your type tall (maybe even ""supermassive""), dark, and mysterious? Celebrate #BlackHoleWeek with us! 

Learn about these cosmic objects, share science updates, visualizations, and sonifications. Follow @NASAUniverse and get pulled in: https://t.co/6fYorGK8rd https://t.co/rS1vDyO1Eq"
39,1653077029372280836,11348282,"Looking for the latest news from low Earth orbit

Follow for mission leadership updates as we live and work beyond our home planet ",False,"Looking for the latest news from low Earth orbit?

Follow @NASASpaceOps for mission leadership updates as we live and work beyond our home planet. https://t.co/SvBPKDvmVO"
40,1653042420957827073,11348282,Throughout May well celebrate AANHPIHeritageMonth by honoring some of the brilliant people who shape NASA and inspire generations  ,False,"Throughout May, we’ll celebrate #AANHPIHeritageMonth by honoring some of the brilliant people who shape NASA and inspire generations: https://t.co/DY8JyHlCBd https://t.co/qBoIppkxZQ"
41,1652811399633031169,11348282,"Tale as old as time 

Unusual asteroid Phaethon behaves like a comet It brightens and forms a tail as it nears the Sun and is the source of a meteor shower something usually led by comets But this asteroids tail tells a different story
 ",False,"Tale as old as time. ☄️

Unusual asteroid Phaethon behaves like a comet. It brightens and forms a tail as it nears the Sun and is the source of a meteor shower, something usually led by comets. But this asteroid's tail tells a different story:
https://t.co/FO8ZZ3RCmP https://t.co/kyjOtsPMpi"
42,1652285451531632641,11348282,This week at NASA astronauts prepped the for more solar arrays celebrated its 33rd anniversary with a new image of a dark nebula and and visited ,False,"This week at NASA, astronauts prepped the @Space_Station for more solar arrays, @NASAHubble celebrated its 33rd anniversary with a new image of a dark nebula, and @VP and @President_KR visited @NASAGoddard. https://t.co/u0lDMiAWUE"
43,1652065774964441090,11348282,Several astronauts and cosmonauts have as many as nine or even ten spacewalks under their belts Former astronaut Peggy Whitson holds the record for most spacewalks for any woman ten,False,@imsacxin Several astronauts and cosmonauts have as many as nine or even ten spacewalks under their belts. Former astronaut Peggy Whitson holds the record for most spacewalks for any woman: ten!
44,1652064269339435009,11348282, TROPICS Launch Update  ,True,RT @NASA_LSP: TROPICS Launch Update! 🚀 https://t.co/bDv0WqiaRE
45,1652064061285122050,11348282,Understanding our changing planet has always been a priority Heres a look at how and why we study Earth ,False,@hibeaneieo Understanding our changing planet has always been a priority. Here's a look at how and why we study Earth: https://t.co/LPQb5PSzTO
46,1652060180513714178,11348282,Astronauts Steve Bowen and concluded todays sevenhour spacewalk at 412 pm ET 2012 UTC It was the eighth for Bowen and the first for any UAE astronaut  ,False,Astronauts Steve Bowen and @Astro_Alneyadi concluded today’s seven-hour spacewalk at 4:12 p.m. ET (20:12 UTC). It was the eighth for Bowen and the first for any UAE astronaut: https://t.co/DGUmmAuHHE https://t.co/G1fbdVDHmf
